length_km,ideal,"tha[1.4 V, 200 ps]","dual_naive[1.4 V, 200 ps]","dual_aware[1.4 V, 200 ps]","tha[1.4 V, 1.6 ns]","dual_naive[1.4 V, 1.6 ns]","dual_aware[1.4 V, 1.6 ns]","tha[2.0 V, 1.6 ns]","dual_naive[2.0 V, 1.6 ns]","dual_aware[2.0 V, 1.6 ns]"
138.0,0.000168123872292999,0.0,0.00016812387226444793,0.0001681238722630649,0.0,0.00016812387206080614,0.0001681238720495558,0.0,0.0001681238717082877,0.00016812387167996104
139.0,0.0001605543278212567,0.0,0.0001605543277973675,0.00016055432779621027,0.0,0.00016055432762810402,0.0001605543276187473,0.0,0.00016055432733473642,0.00016055432731116578
140.0,0.00015332550194794808,0.0,0.000153325501928138,0.00015332550192717834,0.0,0.00015332550178713672,0.0001533255017793466,0.0,0.00015332550154330098,0.00015332550152369597
141.0,0.00014642205691579074,0.0,0.00014642205689947694,0.00014642205689868666,0.0,0.00014642205678207576,0.0001464220567755981,0.0,0.00014642205657932147,0.0001464220565630189
142.0,0.0001398293455344325,0.0,0.00013982934552074085,0.00013982934552007762,0.0,0.00013982934542315173,0.0001398293454177607,0.0,0.00013982934525448587,0.0001398293452409211
143.0,0.00013353338008327654,0.0,0.00013353338007191564,0.00013353338007136533,0.0,0.00013353337999093333,0.00013353337998645964,0.0,0.00013353337985052505,0.00013353337983924908
144.0,0.000127520802596767,0.0,0.0001275208025874455,0.00012752080258699393,0.0,0.0001275208025198649,0.0001275208025161392,0.0,0.0001275208024030554,0.00012752080239367052
145.0,0.00012177885651932058,0.0,0.00012177885651145582,0.00012177885651107478,0.0,0.00012177885645523732,0.00012177885645213255,0.0,0.00012177885635823859,0.00012177885635043434
146.0,0.00011629535960280173,0.0,0.00011629535959639358,0.00011629535959608312,0.0,0.00011629535954949773,0.00011629535954691513,0.0,0.00011629535946881348,0.00011629535946232165
147.0,0.00011105867805629741,0.0,0.00011105867805076326,0.00011105867805049511,0.0,0.00011105867801202432,0.00011105867800987923,0.0,0.00011105867794503234,0.00011105867793964125
148.0,0.00010605770184200833,0.0,0.0001060577018373481,0.00010605770183712233,0.0,0.00010605770180530948,0.00010605770180353131,0.0,0.00010605770174938743,0.00010605770174489966
149.0,0.00010128182108855207,0.0,0.00010128182108476583,0.00010128182108458236,0.0,0.00010128182105797077,0.00010128182105648893,0.0,0.00010128182101137066,0.00010128182100763081
150.0,9.672090357132938e-05,0.0,9.672090356812574e-05,9.67209035679705e-05,0.0,9.672090354599148e-05,9.672090354476369e-05,0.0,9.672090350725654e-05,9.672090350415178e-05
151.0,9.236527319955856e-05,0.0,9.236527319693747e-05,9.236527319681046e-05,0.0,9.23652731782988e-05,9.236527317726858e-05,0.0,9.236527314626357e-05,9.236527314368096e-05
152.0,8.820568948376525e-05,0.0,8.820568948172672e-05,8.82056894816279e-05,0.0,8.820568946629219e-05,8.82056894654454e-05,0.0,8.820568943950009e-05,8.820568943735494e-05
153.0,8.423332791406867e-05,0.0,8.423332791232142e-05,8.423332791223676e-05,0.0,8.423332789950836e-05,8.42333278988027e-05,0.0,8.423332787708546e-05,8.423332787529315e-05
